Date,Purchasing Power of Philippine Peso
1957,101.64
1957,101.64
1957,101.64
1957,101.64
1957,101.64
1957,100.85
1957,99.31
1957,98.56
1957,97.82
1957,96.37
1957,96.37
1957,96.37
1958,95.66
1958,95.66
1958,96.37
1958,96.37
1958,95.66
1958,95.66
1958,95.66
1958,95.66
1958,95.66
1958,95.66
1958,95.66
1958,97.09
1959,97.82
1959,97.82
1959,97.82
1959,97.82
1959,97.82
1959,97.82
1959,96.37
1959,96.37
1959,96.37
1959,95.66
1959,94.28
1959,94.28
1960,93.6
1960,94.96
1960,95.66
1960,94.96
1960,93.6
1960,92.93
1960,92.27
1960,90.35
1960,89.72
1960,89.11
1960,89.11
1960,89.11
1961,89.72
1961,89.72
1961,90.35
1961,90.35
1961,89.72
1961,89.72
1961,88.5
1961,87.32
1961,86.16
1961,87.32
1961,88.5
1961,89.11
1962,89.11
1962,88.5
1962,89.11
1962,89.11
1962,88.5
1962,87.32
1962,87.32
1962,85.59
1962,85.59
1962,85.59
1962,85.03
1962,85.03
1963,85.03
1963,85.03
1963,83.94
1963,82.87
1963,82.87
1963,81.82
1963,81.31
1963,80.31
1963,77.44
1963,77.44
1963,77.44
1963,77.44
1964,77.44
1964,77.44
1964,77.44
1964,76.53
1964,76.53
1964,76.08
1964,74.34
1964,73.5
1964,74.34
1964,74.77
1964,74.77
1964,73.5
1965,74.34
1965,75.2
1965,75.2
1965,74.77
1965,75.2
1965,75.2
1965,74.77
1965,74.34
1965,74.34
1965,74.34
1965,74.77
1965,74.34
1966,73.09
1966,73.09
1966,73.92
1966,73.92
1966,72.68
1966,71.48
1966,71.88
1966,71.88
1966,71.09
1966,71.09
1966,71.48
1966,71.09
1967,69.2
1967,68.84
1967,69.2
1967,69.95
1967,69.95
1967,69.2
1967,68.84
1967,68.12
1967,68.12
1967,68.12
1967,67.06
1967,67.06
1968,66.72
1968,67.41
1968,67.41
1968,68.12
1968,67.41
1968,67.41
1968,67.76
1968,67.06
1968,67.06
1968,66.72
1968,67.06
1968,67.06
1969,67.76
1969,68.12
1969,68.12
1969,68.12
1969,67.76
1969,66.72
1969,66.04
1969,65.05
1969,65.38
1969,65.05
1969,65.05
1969,63.46
1970,62.85
1970,62.25
1970,60.79
1970,59.68
1970,59.68
1970,58.34
1970,57.57
1970,56.57
1970,56.32
1970,55.13
1970,52.89
1970,52.46
1971,50.62
1971,50.04
1971,49.47
1971,49.66
1971,49.47
1971,49.09
1971,47.31
1971,46.63
1971,46.13
1971,45.65
1971,45.49
1971,45.02
1972,43.8
1972,42.94
1972,44.25
1972,43.22
1972,42.38
1972,41.7
1972,40.03
1972,40.53
1972,40.28
1972,40.91
1972,42.94
1972,42.94
1973,40.91
1973,40.66
1973,40.15
1973,39.42
1973,38.38
1973,37.39
1973,36.14
1973,34.6
1973,33.62
1973,33.62
1973,32.85
1973,32.12
1974,30.4
1974,29.77
1974,29.24
1974,28.98
1974,28.34
1974,27.74
1974,26.71
1974,26.39
1974,26.28
1974,26.18
1974,26.02
1974,26.28
1975,26.5
1975,26.71
1975,26.88
1975,26.71
1975,26.61
1975,26.66
1975,26.39
1975,26.23
1975,26.07
1975,26.12
1975,26.02
1975,25.86
1976,25.26
1976,25.02
1976,24.83
1976,24.73
1976,24.5
1976,24.09
1976,23.87
1976,23.78
1976,23.65
1976,23.57
1976,23.44
1976,23.19
1977,22.95
1977,22.82
1977,22.67
1977,22.47
1977,22.35
1977,22.05
1977,21.68
1977,21.5
1977,21.36
1977,21.29
1977,21.19
1977,21.02
1978,20.92
1978,20.92
1978,21.02
1978,20.98
1978,20.95
1978,20.82
1978,20.52
1978,20.33
1978,20.17
1978,20.02
1978,19.71
1978,19.68
1979,19.16
1979,19.16
1979,18.83
1979,18.17
1979,17.8
1979,17.51
1979,17.16
1979,16.85
1979,16.64
1979,16.47
1979,16.3
1979,16.08
1980,16.14
1980,15.64
1980,15.4
1980,15.23
1980,15.08
1980,14.97
1980,14.75
1980,14.57
1980,14.42
1980,14.27
1980,14.1
1980,13.94
1981,13.84
1981,13.84
1981,13.84
1981,13.69
1981,13.69
1981,13.55
1981,13.14
1981,13.14
1981,13.14
1981,13.01
1981,12.88
1981,12.75
1982,12.51
1982,12.51
1982,12.51
1982,12.39
1982,12.27
1982,12.16
1982,11.94
1982,11.94
